TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;107,76;0,84;27,83;5,67;2,95;50,93;21,02;16,20;18,00;22,44;0,99;0,26;4,51;13,89;-4,74;2,29;20,39;10,61;14,72;0,52;0,48;0,66;8,90;12,89;;19,00;3,87;;31.529.207.448,00
AA;24,71;1,62;-4,92;0,98;0,32;5,98;-6,05;-8,44;-169,62;-9,91;-3,04;0,43;0,42;2,53;-0,46;1,66;-19,87;-6,44;-11,56;0,32;0,68;0,76;1,34;;;25,26;-5,02;;4.410.040.649,00
AACG;0,87;;-2,65;1,20;0,38;51,68;-31,49;-32,34;;-2,12;0,61;-0,27;0,86;-0,82;-0,44;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;106,31;;;0,72;-0,33;;27.479.733,00
AACQ;9,99;;-93,43;180,94;1,25;;;;;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;11,76;;4,79;-1,50;0,12;62,41;8,05;3,04;1,81;6,97;5,16;;0,15;-1,00;-0,16;0,69;-31,27;2,44;13,28;-0,08;1,08;0,81;2,82;-37,02;;-7,86;2,46;;7.685.637.456,00
AAME;1,58;1,27;70,08;0,31;0,09;9,75;1,90;0,25;6,00;3,93;-5,13;-0,18;0,17;;-0,09;;0,44;0,12;3,11;0,28;0,72;0,50;0,73;-19,56;;5,07;0,02;;32.235.634,00
AAN;7,22;6,75;23,49;0,31;0,12;51,63;0,71;0,42;0,38;23,46;9,47;0,21;0,10;-1,82;-0,22;0,87;1,33;0,52;0,71;0,39;0,61;1,23;4,77;;;23,10;0,31;;218.977.546,00
AAOI;10,79;;-5,21;2,20;1,01;15,55;-28,78;-32,46;-9,35;-7,46;-1,59;0,60;1,69;-8,38;-1,69;0,77;-42,34;-19,37;-21,20;0,46;0,54;0,60;-10,24;;;4,90;-2,07;;359.765.575,00
AAON;58,73;0,95;32,05;7,23;5,13;30,11;17,20;14,22;21,65;26,78;0,28;0,08;4,56;17,64;-9,43;2,76;22,55;16,01;20,42;0,71;0,29;1,13;17,01;13,27;;8,12;1,83;;4.771.512.977,00
AAP;56,05;6,24;8,79;1,22;0,27;43,53;5,07;3,37;3,86;8,67;2,81;0,59;0,30;2,56;-0,56;1,26;13,92;3,08;9,90;0,22;0,78;0,91;3,54;1,09;;45,79;6,37;;3.333.310.315,00
AAPL;184,94;0,64;30,22;50,70;8,30;43,06;29,28;24,56;23,05;25,87;0,53;1,05;7,42;-338,03;-13,20;0,94;167,77;27,45;56,70;0,16;0,84;1,12;11,46;15,60;;3,65;6,12;;2.876.325.954.880,00
AAWW;102,48;;8,25;0,96;0,44;53,54;11,66;7,82;3,32;8,47;2,94;0,51;0,65;-63,29;-0,53;0,96;11,61;5,31;7,87;0,46;0,54;0,68;16,10;9,75;;107,04;12,43;;2.934.330.336,00
AB;25,98;10,08;11,68;;1,47;;;;;;;;;;-1,47;;;12,61;;0,00;0,00;0,00;;5,74;;0,00;2,23;;2.904.483.462,00
ABB;37,12;2,48;17,32;5,68;1,80;32,37;17,56;13,65;;13,66;0,20;0,09;2,36;89,85;-3,35;1,04;32,76;10,36;24,67;0,32;0,68;0,76;3,17;2,26;;6,54;2,14;;69.002.074.752,00
ABBV;138,69;4,27;28,19;19,03;1,81;68,91;22,01;15,50;11,62;24,09;4,24;4,06;4,37;-72,29;-2,30;0,89;67,50;6,42;14,31;0,10;0,90;0,41;15,52;17,39;;7,29;4,92;;244.862.382.006,00
ABC;179,95;0,81;21,39;52,69;0,59;3,42;0,91;0,66;11,34;17,17;1,57;5,29;0,14;-6,24;-1,79;0,88;246,27;2,76;33,33;0,01;0,99;4,16;9,27;36,05;;3,42;8,41;;36.143.677.300,00
ABCB;39,90;1,50;9,26;0,84;0,11;0,00;34,20;21,86;5,34;2,95;-2,97;-0,42;2,02;;-0,11;;9,07;1,15;7,81;0,13;0,87;0,05;24,19;36,34;;47,51;4,31;;2.758.626.150,00
ABCL;3,99;;-15,67;0,97;0,75;100,00;-46,10;-50,91;-38,00;-5,04;12,26;-0,69;7,98;1,43;-1,91;7,83;-6,19;-4,81;-5,85;0,78;0,22;0,09;;;;4,12;-0,25;;1.157.779.098,00
ABCM;23,09;;;;;;;;;;;-0,15;;;;1,13;0,00;0,00;;0,67;0,33;0,00;;;;3,93;0,00;;5.304.306.379,00
ABEO;4,42;;-2,78;11,71;2,04;100,00;-1.086,80;-1.101,91;-3,11;-1,86;0,96;-3,97;30,67;3,16;-11,50;4,67;-420,72;-73,42;-414,95;0,17;0,83;0,07;11,06;;;0,38;-1,59;;109.421.078,00
ABEV;2,73;5,34;15,32;2,46;1,59;49,32;23,08;17,72;;10,85;-0,91;-0,19;2,71;34,25;-2,24;1,19;16,06;10,35;19,01;0,64;0,36;0,58;0,13;4,20;;1,11;0,18;;42.978.322.023,00
ABG;204,11;;4,67;1,29;0,51;19,19;9,17;6,13;2,91;5,51;2,40;1,00;0,29;3,96;-0,68;2,07;27,71;10,90;16,20;0,39;0,61;1,78;19,04;48,29;;157,87;43,75;;4.200.053.114,00
ABIO;1,78;;-4,73;0,68;0,65;;;;-4,83;2,37;7,10;-1,01;;0,68;-87,84;39,21;-14,29;-13,84;-14,29;0,97;0,03;0,00;;;;2,63;-0,38;;25.649.978,00
ABM;39,80;2,21;10,99;1,40;0,52;100,00;4,81;2,96;5,15;9,94;3,18;0,66;0,33;4,72;-0,80;1,47;12,76;4,77;9,90;0,37;0,63;1,61;7,44;127,27;;28,38;3,62;;2.608.181.560,00
ABMD;381,02;;64,40;11,16;10,13;81,32;31,76;24,84;46,32;47,95;-2,40;-0,53;16,00;18,50;-27,11;7,93;17,32;15,72;17,32;0,91;0,09;0,63;18,30;21,24;;34,15;5,92;;17.180.649.024,00
ABNB;119,02;;13,93;8,34;3,55;82,67;29,64;56,87;26,35;25,68;-1,05;-0,33;7,92;9,88;-19,43;1,78;59,85;25,47;1,26;0,43;0,57;0,45;26,81;;;14,27;8,54;;76.082.118.662,00
ABST;11,49;1,56;57,33;-14,16;4,68;87,94;14,58;10,16;22,38;36,85;-3,08;;5,82;-36,16;-13,87;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;16,69;;;-0,81;0,20;;609.650.208,00
ABT;95,88;2,13;32,25;4,44;2,31;54,92;17,07;12,92;16,55;25,65;1,24;0,23;4,17;17,30;-3,37;1,74;13,77;7,16;10,93;0,52;0,48;0,55;9,77;70,80;;21,59;2,97;;166.453.288.980,00
ABTX;41,63;;10,98;1,18;0,12;0,00;38,18;28,90;7,09;-11,75;-20,06;-2,84;3,17;;-0,12;;10,73;1,12;11,72;0,10;0,90;0,04;19,36;28,98;;35,34;3,79;;830.943.126,00
ABUS;1,77;;-4,07;2,20;1,68;100,00;-305,18;-309,89;-4,14;-2,01;2,12;-1,13;12,61;2,21;-16,47;6,47;-54,15;-41,25;-53,32;0,76;0,24;0,13;29,53;;;0,80;-0,43;;296.820.504,00
AC;33,64;0,59;39,89;0,81;0,78;100,00;145,29;125,66;33,92;16,47;-18,03;-0,42;50,12;;-0,78;;2,03;1,96;2,20;0,96;0,03;0,02;-10,87;;;41,48;0,84;;729.614.596,00
ACA;69,94;0,29;12,04;1,50;0,98;19,50;17,30;12,65;6,29;9,71;0,90;0,15;1,52;6,15;-1,35;2,32;12,44;8,10;11,10;0,65;0,35;0,64;8,93;22,34;;46,70;5,81;;3.410.274.400,00
ACAC;11,02;;76,73;-16,59;1,61;;;;48,94;48,79;-0,15;;;-43,36;-1,62;0,13;-21,63;2,10;-21,60;-0,10;0,11;0,00;;;;-0,66;0,14;;63.914.898,00
ACACU;10,99;;76,52;-16,55;1,61;;;;48,81;48,79;-0,15;;;-43,24;-1,61;0,13;-21,63;2,10;-21,60;-0,10;0,11;0,00;;;;-0,66;0,14;;63.914.898,00
ACACW;0,09;;0,63;-0,14;0,01;;;;0,40;48,79;-0,15;;;-0,35;-0,01;0,13;-21,63;2,10;-21,60;-0,10;0,11;0,00;;;;-0,66;0,14;;63.914.898,00
ACAD;22,19;;-32,88;9,20;5,67;97,52;-19,22;-20,12;-33,19;-30,86;3,54;-0,95;6,61;11,96;-24,26;2,62;-28,00;-17,24;-28,00;0,62;0,38;0,86;32,87;;;2,41;-0,67;;3.643.163.076,00
ACAM;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMU;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACAMW;0,00;;;;;;;;;-0,30;-0,30;-0,09;;;;7,38;16,42;0,26;16,40;0,02;0,03;0,00;;;;;;;0,00
ACB;0,46;;-0,15;0,38;0,23;9,59;-104,57;-776,01;;0,01;1,10;-0,38;1,13;0,42;-0,74;5,13;-259,32;-158,40;-25,99;0,61;0,39;0,20;24,35;;;1,22;-3,16;;197.810.948,00
ACBI;32,34;;13,56;1,80;0,16;0,00;53,98;40,56;8,69;-17,34;-27,53;-4,88;5,50;;-0,16;;13,31;1,15;14,52;0,09;0,91;0,03;13,36;;;17,92;2,39;;656.653.998,00
ACCD;6,86;;-3,69;1,19;0,61;44,49;-37,19;-37,24;-5,73;-3,64;0,06;-0,02;1,38;2,30;-1,01;3,08;-32,34;-16,57;-19,64;0,51;0,49;0,44;;;;5,74;-1,86;;522.952.892,00
ACCO;4,69;6,40;-16,37;0,54;0,16;30,10;3,05;-1,45;3,24;25,14;17,37;1,20;0,24;1,06;-0,24;1,79;-3,28;-0,96;1,43;0,29;0,71;0,67;-0,01;;;8,75;-0,29;;445.201.533,00
ACEL;10,73;;16,54;4,82;1,05;29,94;9,39;4,86;5,48;11,20;2,63;1,48;0,80;4,84;-1,56;3,03;29,15;6,37;11,80;0,22;0,78;1,31;31,31;54,89;;2,23;0,65;;909.939.409,00
